country_i,country_j,part2gr_i,part2gr_j,part6gr_i,part6gr_j,d_subtypes,d_flights,d_T,d_RH,season_sync
Albania,Argentina,0,1,0,3,46.2265218759588,,3.64834788264079,1.05982611405221,C_opposite
Albania,Australia,0,1,0,1,33.4874594278016,,3.775115220771,0.486686708964299,C_opposite
Albania,Austria,0,0,0,0,18.2054295302457,,6.36096191406261,11.17041015625,A_synchronized
Albania,Bangladesh,0,1,0,1,32.1303884371003,,16.3144801538489,5.85968387662946,B_partially
Albania,Belarus,0,0,0,0,33.2766424872169,,12.4817942095421,21.821544976787,A_synchronized
Albania,Belgium,0,0,0,0,26.5722159792373,,5.05480406287109,15.8089309963476,A_synchronized
Albania,Bolivia (Plurinational State of),0,1,0,1,41.3962162644044,,15.6291148282929,1.8480015497816,B_partially
Albania,Brazil,0,1,0,1,37.6869499999377,,15.3799565996254,8.57181384042211,B_partially
Albania,Bulgaria,0,0,0,0,23.892695417599,,3.87342437406892,8.70332650815212,A_synchronized
Albania,Cambodia,0,1,0,1,42.2799464250131,,18.1967468261718,4.47362518310547,B_partially
Albania,Cameroon,0,1,0,1,35.4718402217196,,17.5763354429694,14.8316037992729,B_partially
Albania,Canada,0,1,0,4,35.0249071907036,,12.9991334249647,7.02623668767343,A_synchronized
Albania,Chile,0,1,0,3,46.0636958946313,,5.57467037762348,1.05225108421293,C_opposite
Albania,China,0,1,0,4,34.8909748759835,,8.0368589966032,0.983123667015676,B_partially
Albania,"China, Hong Kong SAR",0,1,0,4,33.6273840510184,,13.2286682128906,13.306999206543,B_partially
Albania,Colombia,0,1,0,1,40.02441097993,,16.9522558201401,14.5037585590909,B_partially
Albania,Costa Rica,0,1,0,3,40.777698902476,,17.7042527845049,20.5979783582963,B_partially
Albania,Croatia,0,0,0,0,34.1569290600179,,5.70303344726568,11.6262741088867,A_synchronized
Albania,Cuba,0,1,0,1,35.1680928312819,,16.0266377050008,6.45241634816236,B_partially
Albania,Czechia,0,0,0,0,27.3656663906806,,6.76137810947648,13.0273310567743,A_synchronized
Albania,Côte d’Ivoire,0,1,0,1,41.3166943878244,,16.3095996522378,17.4106652794874,B_partially
Albania,Denmark,0,0,0,0,26.2285090798176,,7.86465454101568,18.3473663330078,A_synchronized
Albania,Ecuador,0,1,0,1,40.6021181790404,,15.0670695149181,12.6565217025735,B_partially
Albania,Egypt,0,0,0,0,29.5232935914948,,5.31566168014882,13.4372050786927,A_synchronized
